[2026-04-30 11:02:02] ColDense Individual Sample Performance
================================================================
Format: Category | Sample_Name | M | K | N | NNZ | WindowNum | BlockNum | FillRate | Performance(us)
HB | psmigr_2 | 3152 | 3152 | 128 | 540022 | 197 | 10401 | 0.2 | 352.427063
HB | psmigr_3 | 3152 | 3152 | 128 | 543162 | 197 | 10509 | 0.2 | 393.407867
HB | saylr1 | 240 | 240 | 128 | 1128 | 15 | 43 | 0.1 | 9.060182
HB | saylr3 | 1008 | 1008 | 128 | 2375 | 63 | 132 | 0.07 | 14.600292
HB | saylr4 | 3568 | 3568 | 128 | 12940 | 223 | 748 | 0.07 | 51.301025
HB | sherman1 | 1008 | 1008 | 128 | 2375 | 63 | 132 | 0.07 | 14.860297
HB | sherman2 | 1088 | 1088 | 128 | 23094 | 68 | 380 | 0.24 | 30.420609
HB | sherman3 | 5008 | 5008 | 128 | 20033 | 313 | 951 | 0.08 | 92.101845
HB | sherman4 | 1104 | 1104 | 128 | 3786 | 69 | 168 | 0.09 | 19.700394
HB | sherman5 | 3312 | 3312 | 128 | 20793 | 207 | 608 | 0.13 | 65.421310
HB | shl_0 | 672 | 672 | 128 | 1687 | 42 | 104 | 0.06 | 40.760815
HB | shl_200 | 672 | 672 | 128 | 1726 | 42 | 108 | 0.06 | 41.960838
HB | shl_400 | 672 | 672 | 128 | 1712 | 42 | 110 | 0.06 | 40.840816
HB | steam1 | 240 | 240 | 128 | 3762 | 15 | 59 | 0.25 | 11.460229
HB | steam2 | 608 | 608 | 128 | 13760 | 38 | 171 | 0.31 | 17.180344
HB | steam3 | 80 | 80 | 128 | 928 | 5 | 10 | 0.36 | 6.920138
HB | str_0 | 368 | 368 | 128 | 2454 | 23 | 53 | 0.18 | 9.900198
HB | str_200 | 368 | 368 | 128 | 3068 | 23 | 60 | 0.2 | 9.200184
HB | str_400 | 368 | 368 | 128 | 3157 | 23 | 60 | 0.21 | 9.780195
HB | str_600 | 368 | 368 | 128 | 3279 | 23 | 62 | 0.21 | 8.620173
HB | watt_1 | 1856 | 1856 | 128 | 11360 | 116 | 486 | 0.09 | 36.240726
HB | watt_2 | 1856 | 1856 | 128 | 11550 | 116 | 496 | 0.09 | 36.820736
HB | well1033 | 1040 | 320 | 128 | 4732 | 65 | 82 | 0.23 | 12.840257
HB | well1850 | 1856 | 720 | 128 | 8758 | 116 | 178 | 0.19 | 23.440470
HB | west0067 | 80 | 80 | 128 | 294 | 5 | 11 | 0.1 | 10.560211
HB | west0132 | 144 | 144 | 128 | 414 | 9 | 18 | 0.09 | 7.520150
HB | west0156 | 160 | 160 | 128 | 371 | 10 | 20 | 0.07 | 7.300146
HB | west0167 | 176 | 176 | 128 | 507 | 11 | 21 | 0.09 | 7.280146
HB | west0381 | 384 | 384 | 128 | 2157 | 24 | 79 | 0.11 | 26.140522
HB | west0479 | 480 | 480 | 128 | 1910 | 30 | 79 | 0.09 | 12.420248
HB | west0497 | 512 | 512 | 128 | 1727 | 32 | 76 | 0.09 | 11.940239
HB | west0655 | 656 | 656 | 128 | 2854 | 41 | 110 | 0.1 | 14.840297
HB | west0989 | 992 | 992 | 128 | 3537 | 62 | 157 | 0.09 | 17.760355
HB | west1505 | 1520 | 1520 | 128 | 5445 | 95 | 244 | 0.09 | 22.860456
HB | west2021 | 2032 | 2032 | 128 | 7353 | 127 | 324 | 0.09 | 31.120623
HB | wm1 | 208 | 288 | 128 | 2909 | 13 | 51 | 0.22 | 14.080281
HB | wm2 | 208 | 272 | 128 | 2942 | 13 | 53 | 0.22 | 14.740294
HB | wm3 | 208 | 272 | 128 | 2948 | 13 | 52 | 0.22 | 17.320347
HB | young3c | 848 | 848 | 128 | 3988 | 53 | 148 | 0.11 | 16.160324
HB | zenios | 2880 | 2880 | 128 | 15032 | 180 | 332 | 0.18 | 42.400848

[2026-04-30 12:45:26] ColDense Individual Sample Performance
================================================================
Format: Category | Sample_Name | M | K | N | NNZ | WindowNum | BlockNum | FillRate | Performance(us)
================================================================
JGD_Homology | D6-6 | 120576 | 23744 | 128 | 146880 | 7536 | 5195 | 0.11 | 313.686279
JGD_Homology | ch3-3-b1 | 32 | 16 | 128 | 36 | 2 | 2 | 0.07 | 9.280186
JGD_Homology | ch3-3-b2 | 16 | 32 | 128 | 18 | 1 | 2 | 0.04 | 10.180203
JGD_Homology | ch4-4-b1 | 80 | 16 | 128 | 144 | 5 | 5 | 0.11 | 5.480110
JGD_Homology | ch4-4-b2 | 96 | 80 | 128 | 288 | 6 | 12 | 0.09 | 6.240125
JGD_Homology | ch4-4-b3 | 32 | 96 | 128 | 96 | 2 | 6 | 0.06 | 12.420248
JGD_Homology | ch5-5-b1 | 208 | 32 | 128 | 400 | 13 | 14 | 0.11 | 6.560131
JGD_Homology | ch5-5-b2 | 608 | 208 | 128 | 1800 | 38 | 78 | 0.09 | 10.600212
